id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,League,tackles
13699,Kwasi Sibo,17,1067,0,0.2585728103294968,0,0.0260249059647321,7,2,3,0,M S,Real Oviedo,0,0.2585728103294968,3.644772589206696,3.3980602603405714,La_Liga,13
13702,Borja Sánchez,1,9,0,0.0,0,0.0,0,0,0,0,S,Real Oviedo,0,0.0,0.0,0.0,La_Liga,0
13703,Marco Esteban,1,40,0,0.0,0,0.0,0,0,0,0,S,Real Oviedo,0,0.0,0.0,0.0,La_Liga,0
13704,Omar Falah,1,9,0,0.0,0,0.0,0,0,0,0,S,Real Oviedo,0,0.0,0.0,0.0,La_Liga,0
13748,Jofre Torrents,3,33,0,0.0,0,0.0,0,0,0,0,S,Barcelona,0,0.0,1.2118503153324127,1.2118503153324127,La_Liga,2
13749,Dro Fernández,4,83,0,0.0,0,0.0516483634710311,0,2,0,0,M S,Barcelona,0,0.0,0.6772245950996876,0.6255762316286564,La_Liga,0
13761,Filip Ugrinic,16,913,0,0.2930274456739425,3,1.873154257424176,11,11,3,0,F M S,Valencia,0,0.2930274456739425,3.701054193079472,3.0730371801182628,La_Liga,6
13764,Calebe,17,742,0,0.1414615493267774,0,0.4210248803719878,5,10,2,0,D F M S,Alaves,0,0.1414615493267774,2.977892049588263,2.4599050730466843,La_Liga,14
13766,Jorge Cabello,5,367,0,0.0,0,0.0,0,0,1,0,D S,Levante,0,0.0,0.7887009792029858,0.7887009792029858,La_Liga,3
13767,Roger Brugué,15,914,0,2.8458912689238787,1,0.6584169827401638,18,6,1,0,F M S,Levante,0,2.8458912689238787,5.168369673192501,2.3214142620563507,La_Liga,0
13770,Paco Cortés,9,353,0,0.3853255193680525,0,0.7920461632311344,9,4,1,0,F M S,Levante,0,0.3853255193680525,1.656908594071865,0.5975478962063789,La_Liga,1
13772,Nacho Pérez,2,79,0,0.0,0,0.0242412872612476,0,1,0,0,D S,Levante,0,0.0,0.0242412872612476,0.0,La_Liga,1
13787,Manuel Fernández,13,726,0,0.0420662704855203,0,0.0310803558677434,2,2,2,0,D S,Celta Vigo,0,0.0420662704855203,3.782723367214203,3.709576785564423,La_Liga,0
13788,Davinchi,7,416,0,0.1721816435456276,0,0.0291446186602115,3,2,1,0,D S,Getafe,0,0.1721816435456276,0.3509474098682403,0.1916308961808681,La_Liga,10
13790,Joselu Pérez,2,16,0,0.0140858823433518,0,0.0,1,0,0,0,S,Getafe,0,0.0140858823433518,0.0140858823433518,0.0,La_Liga,0
13821,Urko Izeta,10,129,0,1.1373591683804989,0,0.3224271722137928,7,2,2,0,F S,Athletic Club,0,1.1373591683804989,0.6109912991523743,0.0324519015848636,La_Liga,0
13823,Miguel Sierra,4,50,0,0.1966240983456373,0,0.0,4,0,0,0,S,Sevilla,0,0.1966240983456373,0.2267779856920242,0.0301538873463869,La_Liga,0
13836,Álvaro Núñez,19,1668,0,0.1696221120655536,2,2.517910910770297,4,20,2,0,D M,Elche,0,0.1696221120655536,8.485914068296552,7.542240547016263,La_Liga,15
13837,David Affengruber,25,2009,0,0.7534260423853993,0,0.3038414008915424,8,6,5,1,D S,Elche,0,0.7534260423853993,6.487953940406442,5.793788155540824,La_Liga,27
13838,Ali Houary,2,133,0,0.0558448247611522,0,0.0,2,0,0,0,M,Elche,0,0.0558448247611522,0.0558448247611522,0.0,La_Liga,2
13841,Federico Redondo,8,66,0,0.0,0,0.0,0,0,0,0,S,Elche,0,0.0,0.069215327501297,0.069215327501297,La_Liga,1
13843,Bambo Diaby,4,98,0,0.0,0,0.0,0,0,1,0,D S,Elche,0,0.0,0.0600255103781819,0.0600255103781819,La_Liga,0
13848,Thiago Pitarch,2,151,0,0.1911620050668716,0,0.2106472104787826,3,1,0,0,M,Real Madrid,0,0.1911620050668716,0.5685203075408936,0.1667110845446586,La_Liga,0
13855,Iván Corralejo,1,11,0,0.0,0,0.0,0,0,0,0,S,Real Betis,0,0.0,0.0551396198570728,0.0551396198570728,La_Liga,0
13889,Jano Monserrate,1,13,0,0.0,0,0.0,0,0,0,0,S,Atletico Madrid,0,0.0,0.0,0.0,La_Liga,2
13953,Santiago Colombatto,21,1570,0,0.5880112154409289,1,1.904111286625266,12,19,5,0,M S,Real Oviedo,0,0.5880112154409289,5.170584846287966,4.194736115634441,La_Liga,13
13954,Álex Forés,14,265,0,0.7922417521476746,1,0.0199069753289222,8,1,0,0,F S,Real Oviedo,0,0.7922417521476746,1.322949506342411,0.5908136367797852,La_Liga,0
13991,Jan Virgili,22,1476,0,1.8502737414091823,4,3.4738964876160026,26,25,0,1,F M S,Mallorca,0,1.8502737414091823,6.500305534340441,2.412831014022231,La_Liga,8
13997,Hugo Lopez,2,57,0,0.0,0,0.0,0,0,0,0,M S,Villarreal,0,0.0,0.0,0.0,La_Liga,1
14001,Nelson Deossa,16,597,0,0.4419036190956831,0,0.5050768200308084,16,5,3,0,M S,Real Betis,0,0.4419036190956831,3.827945278957486,3.135099284350872,La_Liga,7
