id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,League,tackles
7074,Nicolás González,21,1313,3,4.920811899006367,0,1.7062745168805122,40,11,3,0,D F M S,Atletico Madrid,3,4.920811899006367,8.968414030969143,4.512239260599017,La_Liga,13
7308,Ander Barrenetxea,23,1382,3,2.28756211232394,3,5.709337087348104,27,37,2,0,F M S,Real Sociedad,3,2.28756211232394,9.976671589538457,4.778176676481962,La_Liga,10
7779,Oihan Sancet,22,1531,3,6.669009603559971,0,1.3745818119496107,42,25,4,1,M S,Athletic Club,1,5.182582251727581,7.098940411582589,2.0623400546610355,La_Liga,6
7810,Ruben Vargas,15,1027,3,2.413185510784388,4,1.841875471174717,24,12,1,0,F M S,Sevilla,2,1.669907879084349,4.516196243464947,1.843827260658145,La_Liga,9
7825,Iker Losada,17,630,3,2.1271424889564514,1,0.3605967964977026,13,9,1,0,M S,Levante,3,2.1271424889564514,2.063571389764548,0.2847637943923473,La_Liga,8
8066,Arnaut Danjuma Groeneveld,26,1550,3,5.174550708383322,2,3.26465561427176,35,12,0,0,F M S,Valencia,3,4.431273099035025,8.92186763882637,1.9616652689874168,La_Liga,0
8091,Ronald Araújo,18,808,3,2.221388068050146,0,0.0791825000196695,9,2,2,0,D S,Barcelona,3,2.221388068050146,4.918225325644016,4.4002367705106735,La_Liga,7
9001,Martín Satriano,10,889,3,1.8423563688993452,0,1.0825234614312649,18,8,4,0,F M,Getafe,3,1.8423563688993452,4.075361292809248,1.4027966484427452,La_Liga,8
9694,Diego López,26,1340,3,2.7840157272294164,0,1.352105898782611,21,10,2,0,F M S,Valencia,3,2.7840157272294164,5.447056084871292,1.5190730411559343,La_Liga,10
9796,Giuliano Simeone,26,1892,3,5.377896117046475,6,5.314427062869072,33,28,1,0,D F M S,Atletico Madrid,3,5.377896117046475,17.065104331821203,8.368341002613306,La_Liga,20
9812,Isi Palazón,28,2064,3,4.175288739614189,3,3.839110977947712,41,34,9,0,F M S,Rayo Vallecano,1,2.6887334790080786,10.269229779019952,6.520700868219137,La_Liga,0
10078,Hugo Álvarez,20,956,3,1.0004114173352718,1,1.8073408026248217,7,21,2,0,D F S,Celta Vigo,3,1.0004114173352718,5.721818355843425,4.048084910959005,La_Liga,6
10870,Williot Swedberg,21,867,3,3.5519397780299187,2,1.229947291314602,18,6,2,0,F M S,Celta Vigo,3,3.5519397780299187,5.988252740353346,2.333692591637373,La_Liga,10
11025,Pablo Torre,26,970,3,1.3600184302777052,2,1.6714036725461483,12,22,3,0,M S,Mallorca,3,1.3600184302777052,3.849226403981447,1.6511206440627575,La_Liga,8
11264,Carlos Álvarez,26,1820,3,2.535831674002111,1,4.416497340425849,28,37,3,0,M S,Levante,3,2.535831674002111,10.155631511472166,5.520392747595906,La_Liga,13
13358,Thiago Almada,20,916,3,3.392496343702078,1,1.9072739090770483,17,19,1,0,F M S,Atletico Madrid,3,3.392496343702078,8.14032656699419,3.722634542733431,La_Liga,12
13700,Alberto Reina,28,1765,3,2.6572005059570074,0,1.6957196919247508,16,22,4,1,F M S,Real Oviedo,3,2.6572005059570074,5.897276874631643,2.6197450822219253,La_Liga,12
13789,Adrián Liso,23,1434,3,2.5819152016192675,0,0.1294377446174621,23,3,3,1,F M S,Getafe,3,2.5819152016192675,2.922922555357218,0.3200403545051813,La_Liga,15
770,Ayoze Pérez,18,836,2,3.328026592731476,3,1.6663309633731842,13,12,3,0,F S,Villarreal,2,3.328026592731476,6.518595054745674,1.6010967921465635,La_Liga,10
813,Salomón Rondón,16,1054,2,3.783308571204543,0,0.1934819892048835,24,5,2,0,F S,Real Oviedo,2,3.0400309544056654,3.1170474737882614,0.3357116375118494,La_Liga,0
2183,Rubén García,26,1658,2,1.296526838093996,5,4.768462466076016,20,32,5,0,F M S,Osasuna,2,1.296526838093996,5.236607015132904,3.2855006521567702,La_Liga,26
2269,Koke,27,1735,2,0.7595302611589432,2,2.626644784584641,10,28,4,0,M S,Atletico Madrid,2,0.7595302611589432,11.581912524998188,10.414683701470494,La_Liga,22
2399,Iñaki Williams,21,1500,2,6.027419654652476,4,2.766031127423048,45,15,1,0,F M S,Athletic Club,1,5.284142045304179,8.385294573381543,2.5642187483608723,La_Liga,7
2551,Pepelu,23,1731,2,3.219678146764636,0,1.2045606933534143,22,20,3,0,M S,Valencia,1,0.9898452814668416,5.619259526021779,5.170427340082824,La_Liga,0
3425,Thomas Lemar,19,986,2,1.6924519538879397,1,1.2024975586682558,15,15,2,0,M S,Girona,2,1.6924519538879397,5.315510630141944,3.1069687767885625,La_Liga,9
5091,Alex Berenguer,24,1798,2,4.513072959147394,3,5.258485611528158,37,44,4,0,F M S,Athletic Club,2,4.513072959147394,9.655457258224487,3.67282048240304,La_Liga,12
5556,Ademola Lookman,7,343,2,2.120290078222752,0,0.7812299206852913,13,4,1,0,F M S,Atletico Madrid,2,2.120290078222752,2.6883168630301952,1.016980603337288,La_Liga,1
5681,Giovani Lo Celso,17,1098,2,2.733913687989116,2,2.545758880674839,27,24,3,0,M S,Real Betis,2,2.733913687989116,9.471436057239773,5.745127160102129,La_Liga,10
6933,Javi Puado,10,687,2,4.838970278389752,0,0.9579164311289788,15,10,2,0,F M S,Espanyol,1,3.3524150969460607,3.2629179880023003,1.2333675622940063,La_Liga,2
7604,Alejandro Catena,27,2363,2,2.2585138333961368,2,1.0749874860048294,14,9,8,1,D,Osasuna,2,2.2585138333961368,4.134894231334329,3.2577871922403574,La_Liga,0
7842,Aleix Febas,28,2495,2,1.9752380400896072,1,1.1884401654824617,20,22,7,0,M,Elche,2,1.9752380400896072,14.271700967103245,12.209466218948364,La_Liga,34
7870,Luis Rioja,28,1998,2,1.8364594653248787,5,2.841838140040636,34,29,1,0,D F M S,Valencia,2,1.8364594653248787,6.588907115161419,3.202702172100544,La_Liga,16
8001,Takefusa Kubo,18,1203,2,2.50237294472754,3,3.2718304209411144,25,26,0,0,F M S,Real Sociedad,2,2.50237294472754,6.794313784688711,3.013954009860754,La_Liga,15
